"parliamentarian_id","interest_categories_id","title"
473,20,"Naturpark Beverin, Wergenstein"
473,24,"Center da capricorns, Wengenstein"
473,24,"Plankis, Hosang'sche Stiftung, Chur"
478,6,"TREUHAND SUISSE Schweizerischer Treuhänderverband, Bern (politischer Beirat)"
478,10,"Swiss Helicopter Association (SHA)"
478,22,"Spitex Privée Suisse (ASPS)"
487,4,"Schutzverband der Bevölkerung um den Flughafen Basel-Mulhouse, Binningen"
487,8,"Gemeinsame Opferhilfe beider Basel, Basel"
487,9,"Riva Chur AG"
487,18,"BVG- und Stiftungsaufsicht beider Basel"
487,18,"Kommission für Wirtschaftsförderung des Kantons Basel-Landschaft"
487,23,"Schiedsgericht Syndicom"
490,1,"Verband Schweizerischer Schreinermeister und Möbelfabrikanten (VSSM), Zürich"
490,1,"Verein Holzenergie Schweiz"
490,1,"Zentrale Paritätische Kommission Schreinergewerbe"
490,2,"Arbeitskreis Wirtschaft und Gesellschaft (AWG)"
490,2,"Schweizerischer Gewerbeverband (sgv), Bern"
490,4,"SAQ Swiss Association for Quality, Kirchberg BE"
490,4,"Swiss Label, Bern"
490,4,"Zentralstelle für das gewerbliche Bürgschaftswesen der Schweiz (GBZ)"
490,6,"TREUHAND SUISSE Schweizerischer Treuhänderverband, Bern (politischer Beirat)"
490,16,"Ausgleichskasse Schreiner"
490,16,"Pensionskasse Schreinergewerbe, Zürich"
490,16,"Schweizerischer Gewerbeverband"
490,18,"Schweizerische Arbeitsgemeinschaft für die Berggebiete (SAB), Bern"
490,20,"Stiftung Natur und Wirtschaft, Luzern"
490,20,"Stiftung Schweizerische Wildtierwarte"
490,24,"Luzerner Raststätten AG (LURAG)"
494,1,"Blavignac SA, Carouge"
494,4,"Fastenopfer (Stiftungsforum)"
494,7,"Arcosana AG"
494,7,"CSS Holding AG, Luzern"
494,7,"CSS Kranken-Versicherung AG, Luzern"
494,7,"CSS Verein, Luzern"
494,7,"CSS Versicherung AG, Luzern"
494,7,"INTRAS Assurance-Maladie, Carouge"
494,7,"INTRAS ASSURANCES SA, Carouge"
494,7,"Intras Caisse Maladie, Carouge"
494,7,"Personalvorsorgestiftung der CSS-Versicherung"
494,7,"Sanagate SA, Luzern"
494,10,"Fondation Jean-Marc Probst pour le Petit Prince, Lausanne"
494,13,"Kinder und Gewalt, Bern"
494,13,"Pro Familia Schweiz, Bern"
494,20,"Schweizerische Greina-Stiftung (SGS) zur Erhaltung der alpinen Fliessgewässer, Zürich"
498,4,"Conférence catholique des baptisé-e-s francophones"
498,10,"Institut Suisse des Sciences Nautiques"
498,20,"La Maison des Alpes, Evolène"
502,8,"Winterhilfe Kanton Zürich"
502,8,"Helvetas, Schweizerische Gesellschaft für internationale Zusammenarbeit, Zürich"
502,8,"Berufslehr-Verbund Zürich (BVZ)"
502,8,"Stiftung Schwiizer hälfed Schwiizer"
502,10,"Schweizerische Stiftung PRO VENEZIA, Bern"
502,10,"Gesellschaft für das Schweizerische Landesmuseum"
502,10,"Gesellschaft für Schweizerische Kunstgeschichte (GSK)"
502,12,"Forum VERA, Verantwortung für die Entsorgung radioaktiver Abfälle, Bern"
502,12,"Schweizerische Vereinigung für Geothermie (SVG)"
502,13,"Stiftung Juventus-Schulen"
502,14,"Schulrat der HWZ Hochschule für Wirtschaft Zürich"
502,14,"International Association for the Exchange of Students for Technical Experience (IAESTE)"
502,14,"Universitätsrat der Universität Zürich"
502,17,"SwissICT"
502,19,"Schweizerische Gesellschaft für Aussenpolitik (SGA)"
502,20,"Organe consultatif sur les changements climatiques (OcCC) (Beratendes Organ)"
502,20,"Pro Natura, Zürich"
502,20,"Stiftung Pusch (Praktischer Umweltschutz Schweiz)"
502,21,"SCAHT, Foundation of the Swiss Centre for Applied Human Toxicology, Geneva"
504,8,"Oeuvre suisse d'entraide ouvrière (OSEO) Valais, Sion"
504,10,"Schweizerisches Alpines Museum"
504,10,"Senso5, Sion"
504,17,"Société coopérative d'édition du journal Le Peuple.VS, Sion"
504,19,"Sozialdemokratische Partei SP"
504,22,"Pro Mente Sana Suisse romande, Genève"
514,2,"FH SCHWEIZ – Dachverband Absolventinnen und Absolventen Fachhochschulen"
514,7,"Groupe Mutuel, Groupe de réflexion santé"
514,7,"Groupe Mutuel, Martigny"
514,10,"Stiftung Sportmuseum Schweiz, Basel"
514,10,"Escapenet GmbH"
514,10,"Lions Club, Winterthur"
514,10,"Schweizerischer Unihockey Verband"
514,10,"Swiss Athletics"
514,10,"Swiss Olympic Verband, Ittigen (Exekutivrat)"
514,10,"Swisscup, Aarau"
514,10,"Vergabungskommission der Young Kickers Foundation (beiratsähnliches Gremium)"
514,16,"Arbeitsgruppe Gesundheitswesen, VIPS (Vereinigung Pharmafirmen in der Schweiz)"
514,16,"ancosyslab GmbH"
514,19,"Freiheit + Verantwortung"
519,1,"Agrisano Pencas"
519,1,"Agrisano Prevos"
519,1,"Äulihof, Weinfelden AG"
519,1,"Laur-Park, Brugg Koll"
519,1,"Stiftung für eine nachhaltige Ernährung durch die schweizerische Landwirtschaft, Brugg"
519,1,"Haus des Schweizerbauern HSB, Brugg"
519,1,"Zuckerfabriken Aarberg und Frauenfeld AG"
519,6,"Grünes Zentrum, Weinfelden"
519,7,"Krankenkasse Agrisano Schweiz"
519,9,"Landw. Bau- und Architekturbüro (LBA) Schweiz"
519,11,"Druckerei Flawil AG, Flawil"
519,11,"Galledia AG, Frauenfeld"
519,11,"Olma Messen St. Gallen"
519,15,"Agrimmo AG, Brugg"
519,17,"Stafag, Frauenfeld"
