"id","abbr.de","abbr.en","abbr.fr","abbr.it","abbr.ro"
3,"SP","SP","PS","PS","PS"
13,"GPS","GPS","Les Verts","Verdi","PES"
31,"GLP","GLP","PVL","PVL","PVL"
7,"EVP","EVP","PEV","PEV","PEV"
2,"CVP","CVP","PDC","PPD","PCD"
91,"CSP","CSP","PCS","PCS","PCS"
32,"BDP","BDP","PBD","PBD","PBD"
1,"FDP","FDP","PLR","PLR","PLD"
18,"Lega","Lega","Lega","Lega","Lega"
4,"SVP","SVP","UDC","UDC","PPS"
90,"MCR","MCR","MCG","MCR","MCR"
