"parliamentarian_id","bill_id","political_action_categories_id"
1071,"14.3862",10
1071,"14.3862",11
1071,"14.4291",10
1071,"14.4292",10
1071,"15.3283",20
1108,"11.4068",21
1108,"11.4115",20
1108,"12.3838",4
1108,"12.3838",20
1108,"15.3272",9
1109,"12.3201",12
1109,"12.3202",12
1109,"14.3802",9
1109,"14.4186",14
1109,"15.3242",8
1109,"15.3242",12
1109,"15.3243",4
1110,"12.3257",7
1110,"12.3257",10
1110,"12.3257",21
1110,"12.3258",6
1110,"12.3258",7
1110,"12.3258",10
1110,"12.3832",7
1110,"12.3832",10
1110,"12.3832",21
1110,"12.3833",7
1110,"12.3833",10
1110,"12.3833",21
1110,"12.3905",6
1110,"12.3905",7
1110,"12.3905",10
1110,"13.3200",9
1110,"13.3202",4
1111,"13.3455",12
1111,"13.3455",16
1111,"14.3947",21
1111,"15.3112",19
1111,"15.3112",20
1112,"12.3309",6
1112,"12.3310",6
1112,"13.3142",19
1112,"13.4299",4
1112,"13.4299",14
1117,"13.4003",4
1119,"12.3727",4
1119,"13.3457",4
1119,"13.3457",21
1119,"13.3678",21
1119,"15.3081",21
1120,"11.4167",9
1120,"11.4167",20
1120,"12.3367",1
1120,"12.3367",16
1120,"12.4251",14
1120,"12.4251",16
1120,"12.4267",14
1120,"13.3354",9
1120,"13.3948",4
1120,"13.3948",9
1120,"14.3657",14
1120,"14.3657",19
1120,"14.3657",21
1120,"14.3658",2
1120,"15.3048",8
1120,"15.3362",16
1122,"12.3235",6
1122,"12.4238",2
1122,"12.4238",3
1122,"13.3583",3
1122,"13.3583",16
1122,"13.3820",13
1122,"13.3820",16
1122,"14.4230",6
1124,"11.4107",13
1124,"11.4198",6
1124,"12.3286",6
1124,"12.3287",4
1124,"12.3914",3
1124,"12.3914",4
1124,"12.3914",13
1124,"12.3947",2
1124,"12.3947",9
1124,"12.4035",7
1124,"12.4035",10
1124,"12.4243",4
1124,"12.4245",4
1124,"12.4246",4
1124,"12.4246",21
1124,"13.3235",4
1124,"13.3280",4
1124,"13.3281",4
1124,"13.3281",9
1124,"13.3282",9
1124,"13.3616",5
1124,"13.3616",20
1124,"13.3617",4
1124,"13.4317",6
1124,"14.3991",1
1124,"15.3365",12
1124,"15.3365",14
1125,"12.4130",19
1125,"13.3123",19
1125,"13.3475",14
1125,"13.4088",2
1125,"13.4088",14
1125,"13.4088",19
1125,"14.3589",16
1125,"14.3589",19
1127,"12.3113",16
1127,"12.3177",21
1127,"12.3255",9
1127,"12.3482",1
1127,"12.3483",16
1127,"12.3700",12
1127,"12.3700",16
1127,"12.3700",20
1127,"12.3785",12
1127,"12.3834",3
1127,"12.3834",16
1127,"12.3878",7
1127,"12.3878",19
1127,"12.3950",4
1127,"12.3950",9
1127,"12.3951",12
1127,"12.4011",7
1127,"13.3239",10
1127,"13.3239",16
1127,"13.3244",9
1127,"13.3331",7
1127,"13.3602",4
1127,"13.3643",19
1127,"13.3644",12
1127,"13.3644",14
1127,"13.3937",19
1127,"13.3952",9
1127,"13.3952",20
1127,"13.4320",1
1127,"13.4320",7
1127,"13.4320",13
1127,"14.3093",14
1127,"14.3201",9
1127,"14.3325",12
1127,"14.3459",3
1127,"14.3459",16
1127,"14.3756",4
1127,"14.3814",19
1127,"14.3995",16
1127,"15.3145",10
1129,"12.3220",16
1129,"12.3614",10
1129,"12.4209",20
1129,"13.3234",4
1129,"14.3228",4
1129,"14.3228",10
1129,"14.3609",10
1129,"14.3609",20
1129,"14.3970",20
1129,"14.4256",20
1129,"14.4288",10
1129,"14.4288",11
1129,"15.3462",12
1131,"11.4171",19
1131,"11.4171",20
1131,"12.3269",21
1131,"13.4165",19
1131,"14.3253",19
1133,"12.3609",10
1133,"12.3609",11
1133,"12.3610",21
1133,"12.3738",1
1133,"12.3909",12
1133,"12.3909",16
1133,"12.3910",4
1133,"12.3911",9
1133,"12.4270",10
1133,"12.4271",7
1133,"13.3439",9
1133,"13.3818",21
1133,"13.3819",4
1133,"13.3819",21
1133,"14.3710",13
1133,"14.3710",16
1133,"14.3710",20
1133,"14.3989",19
1133,"15.3349",10
1133,"15.3349",19
1137,"12.3046",9
1137,"12.3102",21
1137,"12.4213",16
1137,"14.3135",19
1137,"14.3590",19
1137,"14.4098",1
1138,"12.3874",6
1138,"12.3874",9
1139,"13.3605",4
1139,"13.3605",5
1139,"13.3890",16
1139,"14.3801",4
1139,"14.3801",16
1139,"15.3263",4
1142,"12.3953",21
1142,"14.4229",21
1142,"15.3329",21
1147,"11.4208",9
1147,"12.3281",9
1147,"12.3612",9
1147,"12.3932",9
1147,"12.3937",9
1147,"12.3938",6
1147,"12.4057",9
1147,"12.4057",16
1147,"13.3289",9
1147,"13.3333",9
1147,"13.3630",9
1147,"13.3631",9
1147,"13.3957",10
1147,"13.3959",9
1147,"13.4259",9
1147,"14.3352",10
1147,"14.3352",11
1147,"14.3967",9
1153,"11.4182",5
1153,"11.4182",18
1153,"12.3580",2
1153,"12.3581",20
1153,"12.3581",21
1153,"12.4152",2
1153,"12.4152",13
1153,"13.3555",9
1153,"13.3556",9
1153,"13.3868",4
1153,"13.3868",9
1153,"13.4269",9
1153,"14.3388",4
1153,"14.3537",1
1153,"14.3537",4
1153,"14.3803",9
1153,"14.4125",9
1156,"12.3080",10
1156,"12.3081",10
1156,"12.3304",16
1156,"12.3426",10
1156,"12.3714",10
1156,"12.3831",10
1156,"12.4051",10
1156,"12.4052",10
1156,"12.4053",10
1156,"13.3261",16
1156,"13.3261",20
1156,"13.3262",10
1156,"13.3278",5
1156,"13.3695",10
1156,"13.4150",10
1156,"13.4151",10
1156,"13.4152",6
1156,"14.3054",10
1156,"14.3055",10
1156,"14.3065",10
1156,"14.3235",4
1156,"14.3412",20
1156,"14.4192",10
1156,"15.3060",10
1156,"15.3061",10
1156,"15.3193",4
1156,"15.3193",20
1156,"15.3194",4
1159,"13.3914",12
1159,"13.3928",12
1159,"13.3928",16
1159,"13.4241",13
1279,"12.3087",10
1288,"11.4072",16
1288,"12.3122",2
1288,"12.3123",9
1288,"12.3123",16
1288,"12.3544",4
1288,"12.3545",2
1288,"12.3545",16
1288,"12.3623",16
1288,"12.3623",20
1288,"12.3881",6
1288,"12.4240",13
1288,"12.4240",13
1288,"12.4240",16
1288,"13.3230",10
1288,"13.3508",16
1288,"13.3509",4
1288,"13.3509",13
1288,"13.3509",13
1288,"13.4219",7
1288,"13.4219",16
1288,"13.4267",6
1288,"13.4267",7
1288,"13.4296",16
1288,"13.4297",16
1288,"13.4313",4
1288,"13.4313",6
1288,"13.4314",16
1288,"14.3100",2
1288,"14.3181",16
1288,"14.3184",2
1288,"14.3184",20
1288,"14.3367",16
1288,"14.3367",20
1288,"14.3766",5
1288,"14.3946",4
1288,"14.3946",16
1288,"14.3951",4
1288,"14.3951",13
1288,"14.3951",13
1288,"14.4065",21
1288,"14.4170",21
1288,"14.4171",21
1288,"14.4172",1
1288,"14.4172",7
1288,"15.3310",16
1288,"15.3310",21
1288,"15.3311",21
1295,"11.4119",20
1295,"11.4120",10
1295,"11.4120",20
1295,"11.4122",13
1295,"12.3103",10
1295,"12.3822",10
1295,"12.3824",10
1295,"13.3577",2
1295,"13.3577",9
1295,"13.3577",13
1295,"13.4216",19
1295,"13.4308",2
1295,"13.4308",13
1295,"14.3045",13
1295,"14.3089",10
1295,"14.3532",2
1295,"14.3532",13
1295,"14.4193",9
1295,"14.4193",13
1295,"15.3307",2
1295,"15.3307",20
1318,"12.3141",9
1318,"12.3150",9
1318,"12.3560",9
1318,"12.3870",6
1318,"12.3870",9
1318,"12.4026",1
1318,"12.4026",7
1318,"12.4026",10
1318,"13.3039",6
1318,"13.3039",13
1318,"13.3288",4
1318,"13.3709",9
1318,"13.3710",9
1318,"14.3056",9
1318,"14.3097",7
1318,"14.3439",1
1318,"14.3439",7
1318,"14.3439",10
1318,"15.3063",4
1318,"15.3076",16
1318,"15.3180",4
1318,"15.3180",9
1337,"12.3744",19
1337,"13.3495",19
1337,"13.3587",16
1337,"13.3895",19
1337,"13.3895",21
1337,"13.3897",16
1337,"14.3140",4
1337,"14.3140",19
1337,"14.3141",16
1337,"14.3141",19
1337,"14.3479",19
1337,"14.3552",20
1337,"14.3711",3
1337,"14.3711",19
1337,"14.3843",13
1337,"14.3843",19
1337,"14.4187",8
1337,"14.4187",19
1345,"12.4257",2
1345,"12.4257",4
1346,"12.3265",10
1346,"12.3265",11
1346,"12.3880",10
1346,"12.3880",11
1346,"13.3956",10
1346,"14.4307",4
3828,"12.3619",10
3828,"12.3681",10
3828,"12.3783",10
3828,"12.4164",10
3828,"12.4164",11
3828,"12.4164",13
3828,"12.4197",9
3828,"12.4265",3
3828,"12.4265",13
3828,"13.3222",10
3828,"13.3641",20
3828,"13.3809",10
3828,"14.3886",3
3828,"14.3886",4
3828,"14.3886",13
3828,"15.3288",10
3828,"15.3464",10
3828,"15.3464",11
3828,"15.3465",10
3828,"15.3465",11
3829,"13.3853",9
3829,"13.3853",20
3829,"14.3509",9
3829,"14.4162",21
3830,"12.3574",10
3830,"13.3079",4
3830,"13.3218",20
3830,"13.3272",4
3830,"13.3272",13
3830,"13.3445",4
3830,"13.3446",4
3830,"13.3446",5
3830,"13.3810",4
3830,"13.3893",18
3830,"13.4270",4
3830,"14.3049",10
3830,"14.3906",4
3830,"14.3906",20
3830,"14.4053",9
3830,"14.4059",4
3830,"14.4059",9
3830,"15.3196",9
3830,"15.3196",20
3830,"15.3197",4
3830,"15.3197",8
3865,"12.3207",10
3865,"12.3208",10
3865,"12.3816",10
3865,"13.3303",18
3865,"13.4300",10
3865,"13.4300",11
3865,"14.3632",10
3867,"13.3324",1
3867,"13.3324",7
3867,"14.3618",1
3867,"14.3618",7
3867,"14.3619",13
3867,"14.3619",13
3867,"14.3619",14
3867,"14.3619",14
3867,"14.3838",1
3867,"15.3192",7
3867,"15.3239",1
3867,"15.3239",20
3872,"11.4088",6
3872,"11.4088",8
3872,"11.4132",4
3872,"11.4132",9
3872,"12.3078",1
3872,"12.3078",4
3872,"12.3344",1
3872,"12.3344",8
3872,"12.3567",4
3872,"12.3577",4
3872,"12.3577",6
3872,"12.3684",1
3872,"12.3762",6
3872,"12.3762",7
3872,"12.3891",6
3872,"13.3043",1
3872,"13.3292",1
3872,"13.3292",6
3872,"13.3420",10
3872,"13.3420",11
3872,"13.3682",1
3872,"13.3682",6
3872,"13.4042",3
3872,"13.4042",13
3872,"13.4158",7
3872,"14.3023",1
3872,"14.3508",6
3872,"14.3508",7
3872,"14.3815",1
3872,"15.3127",12
3872,"15.3251",4
3872,"15.3251",9
3872,"15.3251",13
3875,"12.3745",19
3876,"12.3935",6
3876,"12.3935",7
3876,"12.4165",17
3876,"12.4165",17
3876,"13.3080",4
3876,"13.3080",14
3876,"13.3212",20
3876,"13.4074",9
3876,"13.4074",20
3876,"14.3096",17
3876,"14.3096",17
3876,"14.3602",9
3876,"14.3602",19
3876,"14.4244",3
3876,"14.4244",13
3876,"15.3146",10
3877,"12.4070",14
3877,"13.3258",10
3877,"13.3258",14
3877,"13.3742",16
3878,"11.4156",21
3878,"12.4218",4
3878,"13.3246",3
3878,"13.3246",13
3878,"13.3248",1
3878,"13.3248",7
3878,"14.3834",4
3878,"14.3834",9
3878,"14.4177",21
3880,"12.3470",16
3880,"12.3471",16
3880,"12.3477",16
3880,"12.3779",7
3880,"12.3779",10
3880,"12.3803",12
3880,"12.3803",16
3880,"13.3081",10
3880,"13.3081",16
3880,"13.3510",19
3880,"13.3671",16
3880,"13.3730",5
3880,"13.3730",19
3880,"13.3731",16
3880,"13.3936",10
3880,"14.3517",10
3880,"14.3753",3
3880,"14.3753",16
3880,"14.3753",19
3880,"14.3898",9
3880,"14.3898",19
3880,"15.3143",10
3880,"15.3229",10
3881,"12.3124",10
3881,"12.3478",10
3881,"12.3478",20
3881,"12.3847",10
3881,"13.3500",10
3881,"13.3884",10
3881,"13.4040",10
3881,"13.4040",13
3882,"11.4151",4
3882,"11.4151",6
3882,"11.4193",13
3882,"12.3465",20
3882,"12.3465",21
3882,"12.3620",6
3882,"12.3631",6
3882,"13.3253",20
3882,"13.3606",4
3882,"13.3606",7
3884,"15.3082",9
3884,"15.3083",2
3884,"15.3083",4
3884,"15.3083",20
3884,"15.3150",21
3884,"15.3237",9
3884,"15.3237",21
3885,"12.3282",6
3885,"12.3297",9
3885,"12.3297",10
3885,"12.3297",11
3885,"12.3454",1
3885,"12.4029",7
3885,"12.4029",10
3885,"12.4127",21
3885,"13.3649",1
3885,"14.3659",1
3885,"14.3659",13
3885,"14.3769",1
3885,"14.3769",21
3885,"14.3831",9
3885,"15.3252",4
3885,"15.3252",9
3886,"13.3940",21
3886,"13.4220",4
3886,"13.4220",13
3886,"15.3141",4
3886,"15.3141",12
3886,"15.3142",16
3886,"15.3142",20
3886,"15.3234",4
3886,"15.3234",9
3887,"13.3318",9
3887,"13.3349",9
3888,"11.4153",4
3888,"11.4153",20
3888,"12.3588",1
3888,"12.3726",1
3888,"12.3726",4
3888,"13.3967",9
3888,"13.4263",19
3888,"14.3651",16
3890,"11.4165",21
3890,"13.3053",21
3890,"13.3876",20
3890,"13.3876",21
3891,"12.3056",7
3891,"12.3428",5
3891,"12.3706",4
3891,"12.3706",5
3891,"13.3126",16
3891,"13.3126",19
3891,"13.3427",16
3891,"13.4133",5
3892,"12.4155",6
3892,"12.4155",7
3892,"13.3501",6
3892,"13.3749",6
3892,"14.3882",7
3895,"12.4072",10
3895,"12.4072",16
3897,"12.3299",7
3898,"14.3133",9
3899,"11.4175",6
3899,"12.3524",6
3899,"12.3525",6
3899,"13.3575",9
3899,"13.4289",4
3899,"13.4289",8
3899,"15.3059",4
3899,"15.3059",20
3901,"12.3473",16
3901,"12.3942",10
3901,"12.3942",11
3901,"12.3942",12
3901,"12.4262",7
3901,"12.4263",16
3901,"12.4263",19
3901,"13.3279",9
3901,"13.3622",7
3901,"13.3623",19
3901,"13.4016",9
3901,"13.4016",21
3901,"13.4089",2
3901,"14.3218",12
3901,"14.3219",8
3901,"14.3220",12
3901,"14.3220",16
3901,"14.3221",16
3901,"14.3222",9
3901,"14.3222",16
